d8:9e:f3:2c:3a:37,4C4C4544-004D-4B10-804B-CAC04F334E32,matemagician,1195,445
d0:50:99:64:8c:cb,E16F388B-7CF8-7603-B768-9E935A2801A1,aiteam,11339,270
24:6e:96:dc:9a:aa,4C4C4544-0044-3710-8054-B7C04F395132,polimi-gpu-trial,9340,405
0e:34:c3:75:77:4a,822bb6dd-124a-79c1-9451-5f25592da315,dgxstation-ita,14899,270
be:6d:e2:23:86:66,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
36:38:cb:6b:3c:9c,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld, 11339, 270
00:00:00:00:00:00,00000000-0000-0000-0000-000000000000,ada9167d4635,14899,270#Docker on dgxstation
00:00:00:00:00:01,00000000-0000-0000-0000-000000000001,e03c695a45a1,14899,270#Docker on dgxstation
10:7b:44:37:3d:6c,b6de89a9-0a33-4ba6-9853-69552d906180,bardiel,2331,0
02:42:59:bf:c4:11,b6de89a9-0a33-4ba6-9853-69552d906180,bardiel,2331,0
00:00:00:00:00:00,,upvdocker1GPU,14899,270
8e:1e:a0:3a:d7:da,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
1a:f5:2d:0e:2b:58,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
e2:25:04:d5:62:f2,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
4e:93:bd:7c:19:ee,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
be:41:ba:c7:d2:39,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
02:42:ac:11:00:05,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
02:42:ac:11:00:0f,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
02:42:ac:11:00:0b,E16F388B-7CF8-7603-B768-9E935A2801A1,westworld,11339,270
